Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
26-02-2003,UTIBANK,EQ,43.7,50,50,42.5,42.85,42.7,43.01,50472,2.17078E+11,,26501,0.5251
27-02-2003,UTIBANK,EQ,42.7,43.75,43.75,42.45,43.1,43,42.97,44317,1.90429E+11,,35236,0.7951
28-02-2003,UTIBANK,EQ,43,43.8,44.2,42.5,42.9,43,43.36,113784,4.93394E+11,,47196,0.4148
03-03-2003,UTIBANK,EQ,43,43.2,44.9,43.2,44.3,44.2,44.15,378356,1.67045E+12,,253441,0.6698
04-03-2003,UTIBANK,EQ,44.2,43.7,43.7,42.65,42.65,42.8,43.05,85306,3.67283E+11,,49772,0.5835
05-03-2003,UTIBANK,EQ,42.8,44.5,44.5,41.8,41.8,42,42.05,42983,1.80736E+11,,29537,0.6872
06-03-2003,UTIBANK,EQ,42,43.35,43.35,41.5,41.5,41.65,41.79,39437,1.64798E+11,,20072,0.509
07-03-2003,UTIBANK,EQ,41.65,41.3,41.35,40.25,40.4,40.55,40.67,49542,2.01473E+11,,26695,0.5388
10-03-2003,UTIBANK,EQ,40.55,40.75,40.75,38.95,39.35,39.05,39.44,42927,1.69297E+11,,29435,0.6857
11-03-2003,UTIBANK,EQ,39.05,38.8,40,38.1,40,39.9,39.06,51780,2.02229E+11,,33665,0.6502
12-03-2003,UTIBANK,EQ,39.9,40.8,40.85,39.55,39.75,39.65,39.93,38524,1.53821E+11,,19555,0.5076
13-03-2003,UTIBANK,EQ,39.65,40.25,40.35,38.5,39.5,39.2,39,34213,1.33419E+11,,21696,0.6341
17-03-2003,UTIBANK,EQ,39.2,39,41.15,38.5,41.15,40.85,39.7,64647,2.56679E+11,,50223,0.7769
19-03-2003,UTIBANK,EQ,40.85,45,45,39.7,39.7,40,40.24,77232,3.1076E+11,,53893,0.6978
20-03-2003,UTIBANK,EQ,40,45,45,39.35,40.5,40.5,40.32,57324,2.31147E+11,,42345,0.7387
21-03-2003,UTIBANK,EQ,40.5,43.2,43.2,40.45,40.55,40.65,40.78,43410,1.77045E+11,,27584,0.6354
22-03-2003,UTIBANK,EQ,40.65,43.2,43.2,40.65,41,41,40.91,13420,54900710000,,11157,0.8314
24-03-2003,UTIBANK,EQ,41,45,45,39.7,39.9,39.85,40.16,52868,2.12339E+11,,37718,0.7134
25-03-2003,UTIBANK,EQ,39.85,40.95,40.95,39.05,39.6,39.65,39.56,24614,97374395000,,20669,0.8397
26-03-2003,UTIBANK,EQ,39.65,41.95,41.95,39.55,39.55,39.65,39.84,25657,1.02218E+11,,18673,0.7278
27-03-2003,UTIBANK,EQ,39.65,41,41,39.15,39.55,39.55,39.65,13300,52733215000,,9478,0.7126
28-03-2003,UTIBANK,EQ,39.55,39.6,40.55,39.6,40.05,40.1,40.27,38481,1.5497E+11,,19606,0.5095
31-03-2003,UTIBANK,EQ,40.1,40.1,40.4,39.1,39.95,39.3,39.59,29254,1.15831E+11,,20802,0.7111
01-04-2003,UTIBANK,EQ,39.3,39.5,40.45,39.5,40,39.9,39.98,18435,73705500000,,11521,0.625
02-04-2003,UTIBANK,EQ,39.9,40,40.85,39.8,40,40,40.06,152284,6.10018E+11,,138313,0.9083
03-04-2003,UTIBANK,EQ,40,40,40.75,39.75,39.75,39.8,39.97,37428,1.49598E+11,,29222,0.7808
04-04-2003,UTIBANK,EQ,39.8,40,40.8,39.75,40.5,40.45,40.34,67371,2.71806E+11,,43396,0.6441
07-04-2003,UTIBANK,EQ,40.45,40.9,42.2,40.65,41,41.3,41.57,102457,4.25891E+11,,64738,0.6319
08-04-2003,UTIBANK,EQ,41.3,43.05,43.5,42,43.5,43.25,42.94,161656,6.94112E+11,,105716,0.654
09-04-2003,UTIBANK,EQ,43.25,47,47,43.25,43.3,43.45,44.19,370651,1.6378E+12,,279915,0.7552
10-04-2003,UTIBANK,EQ,43.45,43.95,43.95,42.4,42.55,42.7,42.96,78941,3.39102E+11,,48250,0.6112
11-04-2003,UTIBANK,EQ,42.7,47,47,41.55,41.9,41.8,42.3,48290,2.04256E+11,,30703,0.6358
15-04-2003,UTIBANK,EQ,41.8,47,47,41.6,43.15,42.8,42.42,48393,2.05263E+11,,33767,0.6978
16-04-2003,UTIBANK,EQ,42.8,41.55,43.35,41.55,42.95,42.95,42.92,31834,1.36628E+11,,18720,0.5881
17-04-2003,UTIBANK,EQ,42.95,45,45,42,42.3,42.25,42.18,36923,1.55729E+11,,25154,0.6813
21-04-2003,UTIBANK,EQ,42.25,42.85,44.25,42.3,44.25,44.05,43.43,81949,3.559E+11,,69346,0.8462
22-04-2003,UTIBANK,EQ,44.05,43.95,44.5,43,43.65,43.3,43.5,153078,6.65883E+11,,132791,0.8675
23-04-2003,UTIBANK,EQ,43.3,50,50,43.6,43.85,43.95,43.99,207951,9.14686E+11,,187852,0.9033
24-04-2003,UTIBANK,EQ,43.95,44.9,44.9,43,44.05,43.9,43.73,47722,2.08693E+11,,37110,0.7776
25-04-2003,UTIBANK,EQ,43.9,44.4,44.75,43.6,43.75,44.15,44.2,118450,5.23498E+11,,78200,0.6602
28-04-2003,UTIBANK,EQ,44.15,45.5,45.95,44.6,44.6,44.8,45.21,255514,1.15528E+12,,141233,0.5527
29-04-2003,UTIBANK,EQ,44.8,47.95,47.95,41.7,44.1,44.1,44.42,144840,6.43387E+11,,96071,0.6633
30-04-2003,UTIBANK,EQ,44.1,47,47,44,44.05,44.3,44.54,134910,6.00853E+11,,92012,0.682
02-05-2003,UTIBANK,EQ,44.3,45.95,47,44.4,46.6,46.6,45.89,218214,1.00138E+12,,144133,0.6605
05-05-2003,UTIBANK,EQ,46.6,47.9,48.3,46.15,46.75,46.4,47.34,283200,1.34063E+12,,149218,0.5269
06-05-2003,UTIBANK,EQ,46.4,48,48,46.4,46.9,46.95,47.18,405533,1.91314E+12,,206026,0.508
07-05-2003,UTIBANK,EQ,46.95,49,49,44,44.8,44.85,45.01,343418,1.54588E+12,,231366,0.6737
08-05-2003,UTIBANK,EQ,44.85,44.35,45.25,44.35,44.5,44.7,44.96,571410,2.56923E+12,,543990,0.952
09-05-2003,UTIBANK,EQ,44.7,47.5,47.5,44.25,44.8,44.8,44.76,73195,3.27625E+11,,45342,0.6195
12-05-2003,UTIBANK,EQ,44.8,44.6,46,44.55,46,45.8,45.2,156995,7.09665E+11,,114917,0.732
13-05-2003,UTIBANK,EQ,45.8,45.5,47,45.5,46.25,46.35,46.58,160534,7.47715E+11,,89446,0.5572
14-05-2003,UTIBANK,EQ,46.35,46.05,46.9,45,45.6,45.5,45.84,126586,5.80237E+11,,80243,0.6339
